X 		 Y 		 Z 
29 		 29 		 0.97177 		 % max 
 
1 		 9 		  0.00045053 
1 		 8 		  0.00648879 
1 		 7 		  0.00242334 
1 		 6 		  0.40498430 
1 		 5 		  0.00345213 
1 		 4 		  0.16740529 
1 		 3 		  0.28787970 
1 		 2 		  0.12231511 
1 		 1 		  0.00451021 
2 		 10 		  0.00014193 
2 		 9 		  0.00080097 
2 		 8 		  0.01107723 
2 		 7 		  0.00167623 
2 		 6 		  0.33495485 
2 		 5 		  0.20879303 
2 		 4 		  0.02346840 
2 		 3 		  0.29715262 
2 		 2 		  0.12177713 
2 		 1 		  0.00015128 
3 		 7 		  0.00331166 
3 		 6 		  0.00158765 
3 		 5 		  0.00143410 
3 		 4 		  0.01547102 
3 		 3 		  0.24787608 
3 		 2 		  0.72292942 
3 		 1 		  0.00734814 
4 		 9 		  0.00021129 
4 		 8 		  0.00131070 
4 		 7 		  0.00020006 
4 		 6 		  0.04134422 
4 		 5 		  0.21715509 
4 		 4 		  0.59053809 
4 		 3 		  0.13301617 
4 		 2 		  0.00338964 
4 		 1 		  0.01281913 
5 		 6 		  0.00028534 
5 		 5 		  0.00050457 
5 		 4 		  0.02247270 
5 		 3 		  0.00302811 
5 		 2 		  0.00185838 
5 		 1 		  0.97176826 
6 		 11 		  0.00026769 
6 		 10 		  0.00136689 
6 		 9 		  0.02433179 
6 		 8 		  0.08576338 
6 		 7 		  0.04273400 
6 		 6 		  0.14357437 
6 		 5 		  0.49857605 
6 		 4 		  0.15586000 
6 		 3 		  0.02681604 
6 		 2 		  0.01787411 
6 		 1 		  0.00282228 
7 		 10 		  0.00074887 
7 		 9 		  0.00391903 
7 		 8 		  0.12444483 
7 		 7 		  0.84882075 
7 		 6 		  0.00456760 
7 		 5 		  0.01133156 
7 		 4 		  0.00238543 
7 		 2 		  0.00371154 
8 		 11 		  0.00092711 
8 		 10 		  0.00739813 
8 		 9 		  0.08918823 
8 		 8 		  0.64726019 
8 		 7 		  0.09588608 
8 		 6 		  0.06857808 
8 		 5 		  0.05796175 
8 		 4 		  0.02192358 
8 		 3 		  0.00413357 
8 		 2 		  0.00614182 
8 		 1 		  0.00053549 
9 		 13 		  0.00024885 
9 		 11 		  0.01246017 
9 		 10 		  0.00050765 
9 		 9 		  0.86405699 
9 		 8 		  0.11632566 
9 		 7 		  0.00488067 
9 		 6 		  0.00011356 
9 		 5 		  0.00079044 
9 		 4 		  0.00047546 
10 		 16 		  0.00009778 
10 		 15 		  0.00026805 
10 		 14 		  0.00188651 
10 		 13 		  0.00391174 
10 		 12 		  0.03917529 
10 		 11 		  0.03420508 
10 		 10 		  0.91233225 
10 		 9 		  0.00089944 
10 		 8 		  0.00715434 
11 		 17 		  0.00023811 
11 		 16 		  0.00064823 
11 		 15 		  0.00387298 
11 		 14 		  0.00786952 
11 		 13 		  0.05967734 
11 		 12 		  0.04915737 
11 		 11 		  0.80707421 
11 		 10 		  0.05590424 
11 		 9 		  0.01536033 
11 		 8 		  0.00012401 
12 		 19 		  0.00012258 
12 		 18 		  0.00058009 
12 		 17 		  0.00166682 
12 		 16 		  0.00800263 
12 		 15 		  0.01733745 
12 		 14 		  0.09007370 
12 		 13 		  0.08418583 
12 		 12 		  0.65428705 
12 		 11 		  0.12457585 
12 		 10 		  0.01841946 
12 		 9 		  0.00067576 
13 		 20 		  0.00019379 
13 		 19 		  0.00089757 
13 		 18 		  0.00248511 
13 		 17 		  0.01126901 
13 		 16 		  0.02281872 
13 		 15 		  0.10585957 
13 		 14 		  0.08231771 
13 		 13 		  0.52139746 
13 		 12 		  0.23548127 
13 		 11 		  0.01412052 
13 		 10 		  0.00305544 
14 		 21 		  0.00029777 
14 		 20 		  0.00132417 
14 		 19 		  0.00362331 
14 		 18 		  0.01542962 
14 		 17 		  0.03003537 
14 		 16 		  0.12326089 
14 		 15 		  0.08478007 
14 		 14 		  0.41531524 
14 		 13 		  0.30858658 
14 		 12 		  0.01088651 
14 		 11 		  0.00632575 
15 		 23 		  0.00010474 
15 		 22 		  0.00030951 
15 		 21 		  0.00146735 
15 		 20 		  0.00373993 
15 		 19 		  0.01664577 
15 		 18 		  0.02893826 
15 		 17 		  0.12541970 
15 		 16 		  0.06458630 
15 		 15 		  0.36648990 
15 		 14 		  0.37442928 
15 		 13 		  0.00697467 
15 		 12 		  0.01085589 
16 		 24 		  0.00015170 
16 		 23 		  0.00035559 
16 		 22 		  0.00218553 
16 		 21 		  0.00415425 
16 		 20 		  0.01900479 
16 		 19 		  0.02827628 
16 		 18 		  0.13556837 
16 		 17 		  0.06039033 
16 		 16 		  0.33686567 
16 		 15 		  0.38791846 
16 		 14 		  0.00854100 
16 		 13 		  0.01487875 
17 		 29 		  0.00299591 
17 		 28 		  0.00297297 
17 		 27 		  0.00239647 
17 		 25 		  0.00583883 
17 		 24 		  0.00178205 
17 		 23 		  0.01758253 
17 		 22 		  0.04043591 
17 		 21 		  0.00134318 
17 		 19 		  0.00543835 
17 		 18 		  0.00462749 
17 		 17 		  0.00277554 
17 		 16 		  0.00042875 
17 		 15 		  0.00012153 
18 		 29 		  0.00018671 
18 		 28 		  0.07443387 
18 		 27 		  0.00022535 
18 		 26 		  0.02690551 
18 		 25 		  0.02552615 
18 		 24 		  0.00686084 
18 		 23 		  0.03861022 
18 		 22 		  0.08539529 
18 		 21 		  0.01681903 
18 		 19 		  0.09994821 
18 		 18 		  0.01529139 
18 		 17 		  0.01162879 
18 		 16 		  0.01056090 
18 		 15 		  0.00127917 
18 		 14 		  0.00095185 
19 		 29 		  0.00125429 
19 		 28 		  0.04429705 
19 		 27 		  0.00678246 
19 		 25 		  0.00539267 
19 		 24 		  0.01991263 
19 		 23 		  0.01750456 
19 		 22 		  0.00685390 
19 		 21 		  0.00643387 
19 		 20 		  0.11618870 
19 		 19 		  0.02274815 
19 		 18 		  0.08360369 
19 		 17 		  0.05041236 
19 		 16 		  0.17843240 
19 		 15 		  0.00042418 
19 		 14 		  0.00705992 
20 		 29 		  0.00084108 
20 		 28 		  0.01010391 
20 		 27 		  0.00116058 
20 		 25 		  0.00374441 
